APC,HCPCS Code,Description,Payment Rate
5115,0627T; 0629T; 20692; 20982; 22551; 22554; 22869; 23470; 23473; 23485; 23491; 23615; 23680; 23802; 24346; 24362; 24365; 24366; 24370; 24410; 24430; 24435; 24498; 24515; 24516; 24545; 24546; 24575; 24579; 24586; 24587; 24666; 24802; 25365; 25391; 25441; 25444; 25491; 25810; 27130; 27356; 27415; 27428; 27429; 27438; 27440; 27441; 27442; 27443; 27446; 27447; 27709; 27758; 27759; 27827; 27828; 27870; 27871; 28320; 28420; 28715; 28725; 28730; 28735; 28737; 29856; 29867; 29889; 29907; 64628; 69714; 69716; 69719; 69729; 69730; C9734; C9757; C9781,"Perq njx algc fluor lmbr 1st; Perq njx algc ct lmbr 1st; Appl mltpln uni ext fixj sys; Ablate bone tumor(s) perq; Arthrd ant ntrbdy cervical; Arthrd ant ntrbd min dsc crv; Insj stablj dev w/o dcmprn; Reconstruct shoulder joint; Revis reconst shoulder joint; Revision of collar bone; Reinforce shoulder bones; Optx prox humrl fx w/int fix; Optx sho dislc neck fx fixj; Arthrd glenohumeral jt w/grf; Reconstruct elbow med ligmnt; Reconstruct elbow joint; Reconstruct head of radius; Reconstruct head of radius; Revise reconst elbow joint; Revision of humerus; Repair of humerus; Repair humerus with graft; Reinforce humerus; Treat humerus fracture; Treat humerus fracture; Treat humerus fracture; Treat humerus fracture; Treat humerus fracture; Treat humerus fracture; Treat elbow fracture; Treat elbow fracture; Treat radius fracture; Fusion/graft of elbow joint; Revise radius & ulna; Lengthen radius or ulna; Reconstruct wrist joint; Reconstruct wrist joint; Reinforce ulna; Fusion/graft of wrist joint; Total hip arthroplasty; Remove femur lesion/graft; Osteochondral knee allograft; Reconstruction knee; Reconstruction knee; Revise kneecap with implant; Revision of knee joint; Revision of knee joint; Revision of knee joint; Revision of knee joint; Revision of knee joint; Total knee arthroplasty; Incision of tibia & fibula; Treatment of tibia fracture; Treatment of tibia fracture; Treat lower leg fracture; Treat lower leg fracture; Fusion of ankle joint open; Fusion of tibiofibular joint; Repair of foot bones; Treat/graft heel fracture; Fusion of foot bones; Fusion of foot bones; Fusion of foot bones; Fusion of foot bones; Revision of foot bones; Tibial arthroscopy/surgery; Allgrft implnt knee w/scope; Knee arthroscopy/surgery; Subtalar arthro w/fusion; Trml dstrj ios bvn 1st 2 l/s; Impl oi implt skull perq esp; Impl oi implt sk tc esp<100; Rplcm oi implt sk tc esp<100; Impl oi implt sk tc esp>=100; Rplc oi implt sk tc esp>=100; U/s trtmt, not leiomyomata; Spine device implant surgery; Arthro/shoul surg; w/spacer","$12,539.82 "
5116,20696; 21243; 22612; 22630; 22633; 22856; 22867; 23472; 23616; 24361; 24363; 24371; 25442; 25446; 27278; 27279; 27702; 28705,App mltpln uni xtrnl fix 1st; Reconstruction of jaw joint; Arthrd pst tq 1ntrspc lumbar; Arthrd pst tq 1ntrspc lum; Arthrd cmbn 1ntrspc lumbar; Tot disc arthrp 1ntrspc crv; Insj stablj dev w/dcmprn; Reconstruct shoulder joint; Optx prx hmrl fx fix rpr rpl; Reconstruct elbow joint; Replace elbow joint; Revise reconst elbow joint; Reconstruct wrist joint; Wrist replacement; Arthrd si jt prq wo tfxj dev; Arthrd si jt perq/min nvas; Reconstruct ankle joint; Fusion of foot bones,"$17,756.28 "
5151,31231; 31505; 31511; 31575; 31899; 92511,Nasal endoscopy dx; Diagnostic laryngoscopy; Remove foreign body larynx; Diagnostic laryngoscopy; Unlisted px trachea bronchi; Nasopharyngoscopy,$188.73 
5152,31233; 31513; 31515; 31520; 31577; 31579; 31646; 31717,Nsl/sins ndsc dx max sinusc; Injection into vocal cord; Laryngoscopy for aspiration; Dx laryngoscopy newborn; Largsc w/rmvl foreign bdy(s); Laryngoscopy telescopic; Brnchsc w/ther aspir sbsq; Bronchial brush biopsy,$389.05 
5153,31235; 31237; 31238; 31240; 31241; 31525; 31526; 31530; 31573; 31574; 31576; 31622; 31623; 31624; 31625; 31635; 31643; 31645; 31649; 31730; 42975,Nsl/sins ndsc dx sphn sinusc; Nsl/sins ndsc surg bx polypc; Nsl/sins ndsc srg nsl hemrrg; Nsl/sns ndsc cnch bull rescj; Nsl/sns ndsc lig sphnptn art; Dx laryngoscopy excl nb; Dx laryngoscopy w/oper scope; Laryngoscopy w/fb removal; Largsc w/ther injection; Largsc w/njx augmentation; Laryngoscopy with biopsy; Dx bronchoscope/wash; Dx bronchoscope/brush; Dx bronchoscope/lavage; Bronchoscopy w/biopsy(s); Bronchoscopy w/fb removal; Diag bronchoscope/catheter; Brnchsc w/ther aspir 1st; Bronchial valve remov addl; Intro windpipe wire/tube; Dise eval slp do brth flx dx,"$1,617.14 "
5154,31239; 31256; 31510; 31512; 31527; 31528; 31529; 31531; 31535; 31536; 31540; 31541; 31545; 31570; 31571; 31572; 31578; 31628; 31629; 31630; 31640; 31641; 31648; 31652; 31653,Nsl/sinus endoscopy surg dcr; Exploration maxillary sinus; Laryngoscopy with biopsy; Removal of larynx lesion; Laryngoscopy for treatment; Laryngoscopy and dilation; Laryngoscopy and dilation; Laryngoscopy w/fb & op scope; Laryngoscopy w/biopsy; Laryngoscopy w/bx & op scope; Laryngoscopy w/exc of tumor; Larynscop w/tumr exc + scope; Remove vc lesion w/scope; Laryngoscope w/vc inj; Laryngoscop w/vc inj + scope; Largsc w/laser dstrj les; Largsc w/removal lesion; Bronchoscopy/lung bx each; Bronchoscopy/needle bx each; Bronchoscopy dilate/fx repr; Bronchoscopy w/tumor excise; Bronchoscopy treat blockage; Bronchial valve remov init; Bronch ebus samplng 1/2 node; Bronch ebus samplng 3/> node,"$3,568.05 "
5155,31253; 31254; 31255; 31257; 31259; 31267; 31276; 31287; 31288; 31292; 31293; 31294; 31295; 31296; 31297; 31298; 31546; 31560; 31561; 31626; 31631; 31634; 31636; 31638; 31647; 31660; 31661,Nsl/sins ndsc total; Nsl/sins ndsc w/prtl ethmdct; Nsl/sins ndsc w/tot ethmdct; Nsl/sins ndsc tot w/sphendt; Nsl/sins ndsc sphn tiss rmvl; Endoscopy maxillary sinus; Nsl/sins ndsc frnt tiss rmvl; Nasal/sinus endoscopy surg; Nasal/sinus endoscopy surg; Nsl/sins ndsc med/inf dcmprn; Nsl/sins ndsc med&inf dcmprn; Nsl/sins ndsc surg on dcmprn; Nsl/sins ndsc surg max sins; Nsl/sins ndsc surg frnt sins; Nsl/sins ndsc surg sphn sins; Nsl/sins ndsc surg frnt&sphn; Remove vc lesion scope/graft; Laryngoscop w/arytenoidectom; Larynscop remve cart + scop; Bronchoscopy w/markers; Bronchoscopy dilate w/stent; Bronch w/balloon occlusion; Bronchoscopy bronch stents; Bronchoscopy revise stent; Bronchial valve init insert; Bronch thermoplsty 1 lobe; Bronch thermoplsty 2/> lobes,"$6,521.19 "
5161,21085; 21089; 21299; 21499; 21899; 30000; 30906; 30999; 31000; 31299; 31500; 31502; 31599; 31605; 40490; 40799; 40830; 40899; 41005; 41251; 41252; 41599; 41899; 42000; 42299; 42699; 42700; 42970; 42999; 69100; 69399; 69420; 69799; 69949; 69979; D4999,Prepare face/oral prosthesis; Unlisted maxlfcl prosth px; Unlisted cranfcl&maxlfcl px; Unlisted muscskel px head; Unlisted px neck/thorax; Drainage of nose lesion; Repeat control of nosebleed; Unlisted procedure nose; Irrigation maxillary sinus; Unlisted px accessory sinus; Insert emergency airway; Change of windpipe airway; Unlisted procedure larynx; Incision of windpipe; Biopsy of lip; Unlisted procedure lips; Repair mouth laceration; Unlisted px vestibule mouth; Drainage of mouth lesion; Repair tongue laceration; Repair tongue laceration; Unlisted px tongue flr mouth; Unlisted px dentalvlr strux; Drainage mouth roof lesion; Unlisted px palate uvula; Unlisted px salivry glnd/dux; Drainage of tonsil abscess; Control nose/throat bleeding; Unlisted px phrnx adnd/tnsl; Biopsy of external ear; Unlisted px external ear; Incision of eardrum; Unlisted px middle ear; Unlisted px inner ear; Unlisted px temporal bone; Unspecified periodontal proc,$232.73 
5162,20100; 21400; 21450; 30020; 30200; 30560; 31615; 40650; 40652; 40801; 40805; 40806; 40808; 40818; 40831; 41000; 41009; 41015; 41100; 42180; 42280; 42310; 42320; 42660; 42960; 69222; 69433; 92502,Explore wound neck; Closed tx orbit w/o manipulj; Treat lower jaw fracture; Drainage of nose lesion; Injection treatment of nose; Lysis intranasal synechia; Visualization of windpipe; Rpr lip fth vermilion only; Rpr lip fth<half ver height; Drainage of mouth lesion; Removal foreign body mouth; Incision of lip fold; Biopsy of mouth lesion; Excise oral mucosa for graft; Repair mouth laceration; Drainage of mouth lesion; Drainage of mouth lesion; Drainage of mouth lesion; Biopsy of tongue; Repair lac palate<2 cm; Preparation palate mold; Drainage of salivary gland; Drainage of salivary gland; Dilation of salivary duct; Control throat bleeding; Clean out mastoid cavity; Create eardrum opening; Ear and throat examination,$524.23 
5163,0583T; 20500; 21073; 21076; 21110; 21295; 21315; 21345; 21401; 21451; 21485; 21497; 30100; 30110; 30124; 30210; 30220; 30320; 30801; 30802; 31002; 31201; 31603; 40654; 40812; 40819; 41006; 41007; 41010; 41018; 41115; 41805; 41806; 41821; 41822; 41828; 41850; 41870; 42100; 42300; 42405; 42650; 42800; 42900; 42955; 43020; 60000; 69105; 69436; 69540; 69610; 69700; 69801; C9727; D4231; D4241; D4245; D4266; D4267; D4270; D4273; D4275; D4276; D4277; D7210; D7251; D7310; D7311; D7410; D7411; D7412; D7413; D7414; D7415,Tmpst auto tube dlvr sys; Injection of sinus tract; Mnpj of tmj w/anesth; Prepare face/oral prosthesis; Interdental fixation; Revision of jaw muscle/bone; Clsd tx nsl fx mnpj wo stblj; Closed tx nose/jaw fx; Closed tx orbit w/manipulj; Treat lower jaw fracture; Reset dislocated jaw; Interdental wiring; Intranasal biopsy; Removal of nose polyp(s); Removal of nose lesion; Nasal sinus therapy; Insert nasal septal button; Remove nasal foreign body; Ablate inf turbinate superf; Ablate inf turbinate submuc; Irrigation sphenoid sinus; Removal of ethmoid sinus; Incision of windpipe; Rpr lip fth>1half ver ht/cpx; Excise/repair mouth lesion; Excise lip or cheek fold; Drainage of mouth lesion; Drainage of mouth lesion; Incision of tongue fold; Drainage of mouth lesion; Excision of tongue fold; Removal foreign body gum; Removal foreign body jawbone; Excision of gum flap; Excision of gum lesion; Excision of gum lesion; Treatment of gum lesion; Gum graft; Biopsy roof of mouth; Drainage of salivary gland; Biopsy of salivary gland; Dilation of salivary duct; Biopsy of throat; Repair throat wound; Surgical opening of throat; Incision of esophagus; Drain thyroid/tongue cyst; Biopsy of external ear canal; Create eardrum opening; Remove ear lesion; Repair of eardrum; Close mastoid fistula; Incise inner ear; Insert palate implants; Ana crown exp 1-3 per quad; Gngvl flap w rootplan 1-3 th; Apically positioned flap; Guided tiss regen resorble; Guided tiss regen nonresorb; Pedicle soft tissue graft pr; Auto tissue graft 1st tooth; Non-auto graft 1st tooth; Con tissue w pedicle graft; Soft tissue graft firsttooth; Rem imp tooth w mucoper flp; Coronectomy; Alveoplasty w/ extraction; Alveoloplasty w/extract 1-3; Rad exc lesion up to 1.25 cm; Excision benign lesion>1.25c; Excision benign lesion compl; Excision malig lesion<=1.25c; Excision malig lesion>1.25cm; Excision malig les complicat,"$1,453.05 "
5164,21010; 21029; 21031; 21032; 21040; 21079; 21080; 21082; 21083; 21084; 21086; 21088; 21121; 21123; 21137; 21280; 21282; 21296; 21320; 21325; 21335; 21337; 21340; 21355; 21421; 21440; 21490; 30115; 30117; 30118; 30120; 30130; 30140; 30310; 30520; 30630; 30930; 31020; 31205; 31300; 31600; 31611; 31612; 31613; 31820; 31825; 31830; 40500; 40510; 40520; 40525; 40530; 40720; 40810; 40814; 40816; 40820; 41008; 41017; 41105; 41110; 41112; 41113; 41114; 41116; 41510; 41520; 41530; 41820; 41825; 41826; 41830; 41872; 41874; 42104; 42106; 42140; 42160; 42205; 42305; 42330; 42335; 42340; 42408; 42409; 42510; 42600; 42665; 42720; 42804; 42806; 42808; 42810; 42821; 42826; 42830; 42831; 42835; 42836; 42860; 42962; 42972; 43420; 61330; 62000; 69300; 69421; 69424; 69440; 69450; 69620; 69650; 69666; 69667; 69676; 69711; 69915; D4210; D4211; D4212; D4230; D4240; D4261; D7440; D7441; D7450; D7451; D7670; D7771; G0330,Incision of jaw joint; Contour of face bone lesion; Remove exostosis mandible; Remove exostosis maxilla; Excise mandible lesion; Prepare face/oral prosthesis; Prepare face/oral prosthesis; Prepare face/oral prosthesis; Prepare face/oral prosthesis; Prepare face/oral prosthesis; Prepare face/oral prosthesis; Prepare face/oral prosthesis; Reconstruction of chin; Reconstruction of chin; Reduction of forehead; Revision of eyelid; Revision of eyelid; Revision of jaw muscle/bone; Clsd tx nsl fx w/mnpj&stablj; Open tx nose fx uncomplicatd; Open tx nose & septal fx; Closed tx septal&nose fx; Perq tx nasoethmoid fx; Perq tx malar fracture; Treat mouth roof fracture; Treat dental ridge fracture; Repair dislocated jaw; Removal of nose polyp(s); Removal of intranasal lesion; Removal of intranasal lesion; Revision of nose; Excise inferior turbinate; Resect inferior turbinate; Remove nasal foreign body; Repair of nasal septum; Repair nasal septum defect; Ther fx nasal inf turbinate; Exploration maxillary sinus; Removal of ethmoid sinus; Removal of larynx lesion; Incision of windpipe; Surgery/speech prosthesis; Puncture/clear windpipe; Repair windpipe opening; Closure of windpipe lesion; Repair of windpipe defect; Revise windpipe scar; Partial excision of lip; Partial excision of lip; Partial excision of lip; Reconstruct lip with flap; Partial removal of lip; Repair cleft lip/nasal; Excision of mouth lesion; Excise/repair mouth lesion; Excision of mouth lesion; Treatment of mouth lesion; Drainage of mouth lesion; Drainage of mouth lesion; Biopsy of tongue; Excision of tongue lesion; Excision of tongue lesion; Excision of tongue lesion; Excision of tongue lesion; Excision of mouth lesion; Tongue to lip surgery; Reconstruction tongue fold; Tongue base vol reduction; Excision gum each quadrant; Excision of gum lesion; Excision of gum lesion; Removal of gum tissue; Repair gum; Repair tooth socket; Excision lesion mouth roof; Excision lesion mouth roof; Excision of uvula; Treatment mouth roof lesion; Reconstruct cleft palate; Drainage of salivary gland; Removal of salivary stone; Removal of salivary stone; Removal of salivary stone; Excision of salivary cyst; Drainage of salivary cyst; Parotid duct diversion; Closure of salivary fistula; Ligation of salivary duct; Drainage of throat abscess; Biopsy of upper nose/throat; Biopsy of upper nose/throat; Excise pharynx lesion; Excision of neck cyst; Remove tonsils and adenoids; Removal of tonsils; Removal of adenoids; Removal of adenoids; Removal of adenoids; Removal of adenoids; Excision of tonsil tags; Control throat bleeding; Control nose/throat bleeding; Repair esophagus opening; Decompress eye socket; Treat skull fracture; Revise external ear; Incision of eardrum; Remove ventilating tube; Exploration of middle ear; Eardrum revision; Repair of eardrum; Release middle ear bone; Repair middle ear structures; Repair middle ear structures; Remove middle ear nerve; Remove/repair hearing aid; Incise inner ear nerve; Gingivectomy/plasty 4 or mor; Gingivectomy/plasty 1 to 3; Gingivectomy/plasty rest; Ana crown exp 4 or> per quad; Gingival flap proc w/ planin; Osseous surg 1 to 3 teeth; Malig tumor exc to 1.25 cm; Malig tumor > 1.25 cm; Rem odontogen cyst to 1.25cm; Rem odontogen cyst > 1.25 cm; Closd rductn splint alveolus; Alveolus clsd reduc stblz te; Facility svs dental rehab,"$3,067.62 "
5165,21025; 21026; 21030; 21034; 21044; 21046; 21047; 21048; 21049; 21050; 21060; 21070; 21077; 21081; 21087; 21100; 21120; 21122; 21125; 21127; 21138; 21139; 21141; 21142; 21143; 21150; 21172; 21175; 21181; 21193; 21194; 21195; 21196; 21198; 21199; 21206; 21208; 21209; 21210; 21215; 21230; 21235; 21240; 21242; 21244; 21245; 21246; 21248; 21249; 21255; 21256; 21260; 21261; 21263; 21267; 21270; 21275; 21330; 21338; 21339; 21346; 21347; 21356; 21360; 21365; 21366; 21385; 21386; 21387; 21390; 21395; 21406; 21407; 21408; 21422; 21445; 21452; 21453; 21454; 21461; 21462; 21465; 21470; 21685; 30125; 30150; 30160; 30400; 30410; 30420; 30430; 30435; 30450; 30460; 30462; 30465; 30468; 30469; 30540; 30545; 30580; 30600; 30620; 31030; 31032; 31040; 31050; 31051; 31070; 31075; 31080; 31081; 31084; 31085; 31086; 31087; 31090; 31200; 31242; 31243; 31400; 31420; 31551; 31552; 31553; 31554; 31580; 31584; 31587; 31590; 31591; 31592; 31601; 31610; 31614; 31750; 31755; 31785; 40527; 40700; 40701; 40702; 40761; 40840; 40842; 40843; 40844; 40845; 41016; 41019; 41120; 41512; 41823; 41827; 42107; 42120; 42145; 42182; 42200; 42210; 42215; 42220; 42225; 42226; 42227; 42235; 42260; 42281; 42410; 42415; 42420; 42425; 42440; 42450; 42500; 42505; 42507; 42509; 42725; 42815; 42820; 42825; 42842; 42844; 42870; 42890; 42892; 42950; 43030; 43130; 43180; 60252; 60260; 60271; 60500; 60502; 60520; 69120; 69140; 69150; 69310; 69320; 69501; 69502; 69505; 69511; 69530; 69550; 69552; 69601; 69602; 69603; 69604; 69631; 69632; 69633; 69635; 69636; 69637; 69641; 69642; 69643; 69644; 69645; 69646; 69660; 69661; 69662; 69670; 69705; 69706; 69720; 69725; 69740; 69745; 69805; 69806; 69905; 69910; 69955; 69960; 69970; D4260; D7340; D7350; D7485; D7671; D7770; D7950,Excision of bone lower jaw; Excision of facial bone(s); Excise max/zygoma b9 tumor; Excise max/zygoma mal tumor; Removal of jaw bone lesion; Remove mandible cyst complex; Excise lwr jaw cyst w/repair; Remove maxilla cyst complex; Excis uppr jaw cyst w/repair; Removal of jaw joint; Remove jaw joint cartilage; Remove coronoid process; Prepare face/oral prosthesis; Prepare face/oral prosthesis; Prepare face/oral prosthesis; Maxillofacial fixation; Reconstruction of chin; Reconstruction of chin; Augmentation lower jaw bone; Augmentation lower jaw bone; Reduction of forehead; Reduction of forehead; Lefort i-1 piece w/o graft; Lefort i-2 piece w/o graft; Lefort i-3/> piece w/o graft; Lefort ii anterior intrusion; Reconstruct orbit/forehead; Reconstruct orbit/forehead; Contour cranial bone lesion; Reconst lwr jaw w/o graft; Reconst lwr jaw w/graft; Reconst lwr jaw w/o fixation; Reconst lwr jaw w/fixation; Reconstr lwr jaw segment; Reconstr lwr jaw w/advance; Reconstruct upper jaw bone; Augmentation of facial bones; Reduction of facial bones; Face bone graft; Lower jaw bone graft; Rib cartilage graft; Ear cartilage graft; Reconstruction of jaw joint; Reconstruction of jaw joint; Reconstruction of lower jaw; Reconstruction of jaw; Reconstruction of jaw; Reconstruction of jaw; Reconstruction of jaw; Reconstruct lower jaw bone; Reconstruction of orbit; Revise eye sockets; Revise eye sockets; Revise eye sockets; Revise eye sockets; Augmentation cheek bone; Revision orbitofacial bones; Open tx nose fx w/skele fixj; Open nasoethmoid fx w/o fixj; Open nasoethmoid fx w/ fixj; Opn tx nasomax fx w/fixj; Opn tx nasomax fx multple; Opn tx dprsd zygomatic arch; Opn tx dprsd malar fracture; Opn tx complx malar fx; Opn tx complx malar w/grft; Opn tx orbit fx transantral; Opn tx orbit fx periorbital; Opn tx orbit fx combined; Opn tx orbit periorbtl implt; Opn tx orbit periorbt w/grft; Opn tx orbit fx w/o implant; Opn tx orbit fx w/implant; Opn tx orbit fx w/bone grft; Treat mouth roof fracture; Treat dental ridge fracture; Treat lower jaw fracture; Treat lower jaw fracture; Treat lower jaw fracture; Treat lower jaw fracture; Treat lower jaw fracture; Treat lower jaw fracture; Treat lower jaw fracture; Hyoid myotomy & suspension; Removal of nose lesion; Partial removal of nose; Removal of nose; Reconstruction of nose; Reconstruction of nose; Reconstruction of nose; Revision of nose; Revision of nose; Revision of nose; Revision of nose; Revision of nose; Repair nasal stenosis; Rpr nsl vlv collapse w/implt; Rpr nsl vlv collapse w/rmdlg; Rpr choanal atresia ntranasl; Rpr choanal atresia trsnpltn; Repair upper jaw fistula; Repair mouth/nose fistula; Intranasal reconstruction; Exploration maxillary sinus; Explore sinus remove polyps; Exploration behind upper jaw; Exploration sphenoid sinus; Sphenoid sinus surgery; Exploration of frontal sinus; Exploration of frontal sinus; Removal of frontal sinus; Removal of frontal sinus; Removal of frontal sinus; Removal of frontal sinus; Removal of frontal sinus; Removal of frontal sinus; Exploration of sinuses; Removal of ethmoid sinus; Nsl/sinus ndsc rf abltj pnn; Nsl/sinus ndsc cryoabltj pnn; Revision of larynx; Removal of epiglottis; Laryngoplasty laryngeal sten; Laryngoplasty laryngeal sten; Laryngoplasty laryngeal sten; Laryngoplasty laryngeal sten; Laryngoplasty laryngeal web; Laryngoplasty fx rdctj fixj; Laryngoplasty cricoid split; Reinnervate larynx; Laryngoplasty medialization; Cricotracheal resection; Incision of windpipe; Incision of windpipe; Repair windpipe opening; Repair of windpipe; Repair of windpipe; Remove windpipe lesion; Reconstruct lip with flap; Repair cleft lip/nasal; Repair cleft lip/nasal; Repair cleft lip/nasal; Repair cleft lip/nasal; Reconstruction of mouth; Reconstruction of mouth; Reconstruction of mouth; Reconstruction of mouth; Reconstruction of mouth; Drainage of mouth lesion; Place needles h&n for rt; Partial removal of tongue; Tongue suspension; Excision of gum lesion; Excision of gum lesion; Excision lesion mouth roof; Remove palate/lesion; Repair palate pharynx/uvula; Repair palate; Reconstruct cleft palate; Reconstruct cleft palate; Reconstruct cleft palate; Reconstruct cleft palate; Reconstruct cleft palate; Lengthening of palate; Lengthening of palate; Repair palate; Repair nose to lip fistula; Insertion palate prosthesis; Excise parotid gland/lesion; Excise parotid gland/lesion; Excise parotid gland/lesion; Excise parotid gland/lesion; Excise submaxillary gland; Excise sublingual gland; Repair salivary duct; Repair salivary duct; Parotid duct diversion; Parotid duct diversion; Drainage of throat abscess; Excision of neck cyst; Remove tonsils and adenoids; Removal of tonsils; Extensive surgery of throat; Extensive surgery of throat; Excision of lingual tonsil; Partial removal of pharynx; Revision of pharyngeal walls; Reconstruction of throat; Throat muscle surgery; Removal of esophagus pouch; Esophagoscopy rigid trnso; Removal of thyroid; Repeat thyroid surgery; Removal of thyroid; Explore parathyroid glands; Re-explore parathyroids; Removal of thymus gland; Removal of external ear; Remove ear canal lesion(s); Extensive ear canal surgery; Rebuild outer ear canal; Rebuild outer ear canal; Mastoidectomy; Mastoidectomy; Remove mastoid structures; Extensive mastoid surgery; Extensive mastoid surgery; Remove ear lesion; Remove ear lesion; Mastoid surgery revision; Mastoid surgery revision; Mastoid surgery revision; Mastoid surgery revision; Repair eardrum structures; Rebuild eardrum structures; Rebuild eardrum structures; Repair eardrum structures; Rebuild eardrum structures; Rebuild eardrum structures; Revise middle ear & mastoid; Revise middle ear & mastoid; Revise middle ear & mastoid; Revise middle ear & mastoid; Revise middle ear & mastoid; Revise middle ear & mastoid; Revise middle ear bone; Revise middle ear bone; Revise middle ear bone; Remove mastoid air cells; Nps surg dilat eust tube uni; Nps surg dilat eust tube bi; Release facial nerve; Release facial nerve; Repair facial nerve; Repair facial nerve; Explore inner ear; Explore inner ear; Remove inner ear; Remove inner ear & mastoid; Release facial nerve; Release inner ear canal; Remove inner ear lesion; Osseous surgery 4 or more; Vestibuloplasty ridge extens; Vestibuloplasty exten graft; Surg reduct osseoustuberosit; Alveolus open reduction; Open reduc compd alveolus fx; Mandible graft,"$5,579.71 "
5166,69930,Implant cochlear device,"$31,951.40 "
5181,0415T; 32552; 32554; 32555; 32560; 32561; 32562; 32960; 32999; 33999; 34471; 36002; 36572; 36575; 36589; 37501; 37799; 75801; 75872; 75880,Repos car modulj tranvns elt; Remove lung catheter; Aspirate pleura w/o imaging; Aspirate pleura w/ imaging; Treat pleurodesis w/agent; Lyse chest fibrin init day; Lyse chest fibrin subq day; Therapeutic pneumothorax; Unlisted px lungs & pleura; Unlisted px cardiac surgery; Removal of vein clot; Pseudoaneurysm injection trt; Insj picc rs&i <5 yr; Repair tunneled cv cath; Removal tunneled cv cath; Unlisted vasc endoscopy px; Unlisted px vascular surgery; Lymph vessel x-ray arm/leg; Vein x-ray skull epidural; Vein x-ray eye socket,$598.55 
5182,32551; 32557; 33016; 35180; 36568; 36569; 36573; 36576; 36580; 36584; 36590; 36596; 36597; 36860; 36901; 75803; 75820; 75822; 75827; 93503,Insertion of chest tube; Insert cath pleura w/ image; Pericardiocentesis w/imaging; Repair blood vessel lesion; Insj picc <5 yr w/o imaging; Insj picc 5 yr+ w/o imaging; Insj picc rs&i 5 yr+; Repair tunneled cv cath; Replace cvad cath; Compl rplcmt picc rs&i; Removal tunneled cv cath; Mech remov tunneled cv cath; Reposition venous catheter; External cannula declotting; Intro cath dialysis circuit; Lymph vessel x-ray arms/legs; Vein x-ray arm/leg; Vein x-ray arms/legs; Vein x-ray chest; Insert/place heart catheter,"$1,525.93 "
