HCPCS Code,Short Descriptor,APC,Payment Rate
2028F,Foot exam performed,,
2029F,Complete phys skin exam done,,
2030F,H2o stat docd normal,,
2031F,H2o stat docd dehydrated,,
2033F,Eye img valid w/o rtnopthy,,
2035F,Tymp memb motion examd,,
2040F,Bk pn xm on init visit date,,
2044F,Doc mntl tst b/4 bk trxmnt,,
20500,Injection of sinus tract,5163,"$1,453.05 "
20501,Inject sinus tract for x-ray,,
2050F,Wound char size etc docd,,
20520,Removal of foreign body,5072,"$1,544.75 "
20525,Removal of foreign body,5073,"$2,707.35 "
20526,Ther injection carp tunnel,5441,$282.20 
20527,Inj dupuytren cord w/enzyme,5441,$282.20 
20550,Inj tendon sheath/ligament,5441,$282.20 
20551,Inj tendon origin/insertion,5441,$282.20 
20552,Inj trigger point 1/2 muscl,5441,$282.20 
20553,Inject trigger points 3/>,5441,$282.20 
20555,Place ndl musc/tis for rt,5113,"$3,084.03 "
20560,Ndl insj w/o njx 1 or 2 musc,5731,$28.37 
20561,Ndl insj w/o njx 3+ musc,5731,$28.37 
20600,Drain/inj joint/bursa w/o us,5441,$282.20 
20604,Drain/inj joint/bursa w/us,5441,$282.20 
20605,Drain/inj joint/bursa w/o us,5441,$282.20 
20606,Drain/inj joint/bursa w/us,5442,$658.90 
2060F,Pt intrvwd on/before dx mdd,,
20610,Drain/inj joint/bursa w/o us,5441,$282.20 
20611,Drain/inj joint/bursa w/us,5441,$282.20 
20612,Aspirate/inj ganglion cyst,5441,$282.20 
20615,Treatment of bone cyst,5071,$670.36 
20650,Insert and remove bone pin,5113,"$3,084.03 "
20660,Apply rem fixation device,5112,"$1,531.33 "
20661,Application halo cranial,,
20662,Application halo pelvic,5112,"$1,531.33 "
20663,Application halo femoral,5113,"$3,084.03 "
20664,Appl halo cranial 6+pins,,
20665,Rmvl tongs/halo anthr indiv,5735,$379.63 
20670,Removal implant superficial,5072,"$1,544.75 "
20680,Removal of implant deep,5073,"$2,707.35 "
20690,Appl unipln uni ext fixj sys,5114,"$6,816.33 "
20692,Appl mltpln uni ext fixj sys,5115,"$12,539.82 "
20693,Adjmt/revj ext fixj sys anes,5114,"$6,816.33 "
20694,Rmvl ext fixj sys under anes,5112,"$1,531.33 "
20696,App mltpln uni xtrnl fix 1st,5116,"$17,756.28 "
20697,App mltpln uni xtrnl fix xch,5112,"$1,531.33 "
20700,Mnl prep&insj dp rx dlvr dev,,
20701,Rmvl deep rx delivery device,,
20702,Mnl prep&insj imed rx dev,,
20703,Rmvl imed rx delivery device,,
20704,Mnl prep&insj i-artic rx dev,,
20705,Rmvl i-artic rx delivery dev,,
20802,Replantation arm complete,,
20805,Replant forearm complete,,
20808,Replantation hand complete,,
20816,Replantation digit complete,,
20822,Replantation digit complete,5112,"$1,531.33 "
20824,Replantation thumb complete,,
20827,Replantation thumb complete,,
20838,Replantation foot complete,,
20900,Removal of bone for graft,5114,"$6,816.33 "
20902,Removal of bone for graft,5114,"$6,816.33 "
20910,Remove cartilage for graft,5053,$598.40 
20912,Remove cartilage for graft,5055,"$3,418.26 "
20920,Removal of fascia for graft,5054,"$1,737.53 "
20922,Removal of fascia for graft,5054,"$1,737.53 "
20924,Removal of tendon for graft,5114,"$6,816.33 "
20930,Sp bone algrft morsel add-on,,
20931,Sp bone algrft struct add-on,,
20932,Osteoart algrft w/surf & b1,,
20933,Hemicrt intrclry algrft prtl,,
20934,Intercalary algrft compl,,
20936,Sp bone agrft local add-on,,
20937,Sp bone agrft morsel add-on,,
20938,Sp bone agrft struct add-on,,
20939,Bone marrow aspir bone grfg,,
20950,Fluid pressure muscle,5071,$670.36 
20955,Fibula bone graft microvasc,,
20956,Iliac bone graft microvasc,,
20957,Mt bone graft microvasc,,
20962,Other bone graft microvasc,,
20969,Bone/skin graft microvasc,,
20970,Bone/skin graft iliac crest,,
20972,Bone/skin graft metatarsal,5114,"$6,816.33 "
20973,Bone/skin graft great toe,5114,"$6,816.33 "
20974,Electrical bone stimulation,,
20975,Electrical bone stimulation,,
20979,Us bone stimulation,5731,$28.37 
20982,Ablate bone tumor(s) perq,5115,"$12,539.82 "
20983,Ablate bone tumor(s) perq,5114,"$6,816.33 "
20985,Cptr-asst dir ms px,,
20999,Unlisted px muscskel general,5111,$224.69 
21010,Incision of jaw joint,5164,"$3,067.62 "
21011,Exc face les sc <2 cm,5072,"$1,544.75 "
21012,Exc face les sbq 2 cm/>,5072,"$1,544.75 "
21013,Exc face tum deep < 2 cm,5072,"$1,544.75 "
21014,Exc face tum deep 2 cm/>,5073,"$2,707.35 "
21015,Resect face/scalp tum < 2 cm,5073,"$2,707.35 "
21016,Resect face/scalp tum 2 cm/>,5073,"$2,707.35 "
21025,Excision of bone lower jaw,5165,"$5,579.71 "
21026,Excision of facial bone(s),5165,"$5,579.71 "
21029,Contour of face bone lesion,5164,"$3,067.62 "
21030,Excise max/zygoma b9 tumor,5165,"$5,579.71 "
21031,Remove exostosis mandible,5164,"$3,067.62 "
21032,Remove exostosis maxilla,5164,"$3,067.62 "
21034,Excise max/zygoma mal tumor,5165,"$5,579.71 "
21040,Excise mandible lesion,5164,"$3,067.62 "
21044,Removal of jaw bone lesion,5165,"$5,579.71 "
21045,Extensive jaw surgery,,
21046,Remove mandible cyst complex,5165,"$5,579.71 "
21047,Excise lwr jaw cyst w/repair,5165,"$5,579.71 "
21048,Remove maxilla cyst complex,5165,"$5,579.71 "
21049,Excis uppr jaw cyst w/repair,5165,"$5,579.71 "
21050,Removal of jaw joint,5165,"$5,579.71 "
21060,Remove jaw joint cartilage,5165,"$5,579.71 "
21070,Remove coronoid process,5165,"$5,579.71 "
21073,Mnpj of tmj w/anesth,5163,"$1,453.05 "
21076,Prepare face/oral prosthesis,5163,"$1,453.05 "
21077,Prepare face/oral prosthesis,5165,"$5,579.71 "
21079,Prepare face/oral prosthesis,5164,"$3,067.62 "
21080,Prepare face/oral prosthesis,5164,"$3,067.62 "
21081,Prepare face/oral prosthesis,5165,"$5,579.71 "
21082,Prepare face/oral prosthesis,5164,"$3,067.62 "
21083,Prepare face/oral prosthesis,5164,"$3,067.62 "
21084,Prepare face/oral prosthesis,5164,"$3,067.62 "
21085,Prepare face/oral prosthesis,5161,$232.73 
21086,Prepare face/oral prosthesis,5164,"$3,067.62 "
21087,Prepare face/oral prosthesis,5165,"$5,579.71 "
21088,Prepare face/oral prosthesis,5164,"$3,067.62 "
21089,Unlisted maxlfcl prosth px,5161,$232.73 
21100,Maxillofacial fixation,5165,"$5,579.71 "
21110,Interdental fixation,5163,"$1,453.05 "
21116,Injection jaw joint x-ray,,
21120,Reconstruction of chin,5165,"$5,579.71 "
21121,Reconstruction of chin,5164,"$3,067.62 "
21122,Reconstruction of chin,5165,"$5,579.71 "
21123,Reconstruction of chin,5164,"$3,067.62 "
21125,Augmentation lower jaw bone,5165,"$5,579.71 "
21127,Augmentation lower jaw bone,5165,"$5,579.71 "
21137,Reduction of forehead,5164,"$3,067.62 "
21138,Reduction of forehead,5165,"$5,579.71 "
21139,Reduction of forehead,5165,"$5,579.71 "
21141,Lefort i-1 piece w/o graft,5165,"$5,579.71 "
21142,Lefort i-2 piece w/o graft,5165,"$5,579.71 "
21143,Lefort i-3/> piece w/o graft,5165,"$5,579.71 "
21145,Lefort i-1 piece w/ graft,,
21146,Lefort i-2 piece w/ graft,,
21147,Lefort i-3/> piece w/ graft,,
21150,Lefort ii anterior intrusion,5165,"$5,579.71 "
21151,Lefort ii w/bone grafts,,
21154,Lefort iii w/o lefort i,,
21155,Lefort iii w/ lefort i,,
21159,Lefort iii w/fhdw/o lefort i,,
21160,Lefort iii w/fhd w/ lefort i,,
21172,Reconstruct orbit/forehead,5165,"$5,579.71 "
21175,Reconstruct orbit/forehead,5165,"$5,579.71 "
21179,Reconstruct entire forehead,,
21180,Reconstruct entire forehead,,
21181,Contour cranial bone lesion,5165,"$5,579.71 "
21182,Reconstruct cranial bone,,
21183,Reconstruct cranial bone,,
21184,Reconstruct cranial bone,,
21188,Reconstruction of midface,,
21193,Reconst lwr jaw w/o graft,5165,"$5,579.71 "
21194,Reconst lwr jaw w/graft,5165,"$5,579.71 "
21195,Reconst lwr jaw w/o fixation,5165,"$5,579.71 "
21196,Reconst lwr jaw w/fixation,5165,"$5,579.71 "
21198,Reconstr lwr jaw segment,5165,"$5,579.71 "
21199,Reconstr lwr jaw w/advance,5165,"$5,579.71 "
21206,Reconstruct upper jaw bone,5165,"$5,579.71 "
21208,Augmentation of facial bones,5165,"$5,579.71 "
21209,Reduction of facial bones,5165,"$5,579.71 "
21210,Face bone graft,5165,"$5,579.71 "
21215,Lower jaw bone graft,5165,"$5,579.71 "
21230,Rib cartilage graft,5165,"$5,579.71 "
21235,Ear cartilage graft,5165,"$5,579.71 "
21240,Reconstruction of jaw joint,5165,"$5,579.71 "
21242,Reconstruction of jaw joint,5165,"$5,579.71 "
21243,Reconstruction of jaw joint,5116,"$17,756.28 "
21244,Reconstruction of lower jaw,5165,"$5,579.71 "
21245,Reconstruction of jaw,5165,"$5,579.71 "
21246,Reconstruction of jaw,5165,"$5,579.71 "
21247,Reconstruct lower jaw bone,,
21248,Reconstruction of jaw,5165,"$5,579.71 "
21249,Reconstruction of jaw,5165,"$5,579.71 "
21255,Reconstruct lower jaw bone,5165,"$5,579.71 "
21256,Reconstruction of orbit,5165,"$5,579.71 "
21260,Revise eye sockets,5165,"$5,579.71 "
21261,Revise eye sockets,5165,"$5,579.71 "
21263,Revise eye sockets,5165,"$5,579.71 "
21267,Revise eye sockets,5165,"$5,579.71 "
21268,Revise eye sockets,,
21270,Augmentation cheek bone,5165,"$5,579.71 "
21275,Revision orbitofacial bones,5165,"$5,579.71 "
21280,Revision of eyelid,5164,"$3,067.62 "
21282,Revision of eyelid,5164,"$3,067.62 "
21295,Revision of jaw muscle/bone,5163,"$1,453.05 "
21296,Revision of jaw muscle/bone,5164,"$3,067.62 "
21299,Unlisted cranfcl&maxlfcl px,5161,$232.73 
21315,Clsd tx nsl fx mnpj wo stblj,5163,"$1,453.05 "
21320,Clsd tx nsl fx w/mnpj&stablj,5164,"$3,067.62 "
21325,Open tx nose fx uncomplicatd,5164,"$3,067.62 "
21330,Open tx nose fx w/skele fixj,5165,"$5,579.71 "
21335,Open tx nose & septal fx,5164,"$3,067.62 "
21336,Open tx septal fx w/wo stabj,5113,"$3,084.03 "
21337,Closed tx septal&nose fx,5164,"$3,067.62 "
21338,Open nasoethmoid fx w/o fixj,5165,"$5,579.71 "
21339,Open nasoethmoid fx w/ fixj,5165,"$5,579.71 "
21340,Perq tx nasoethmoid fx,5164,"$3,067.62 "
21343,Open tx dprsd front sinus fx,,
21344,Open tx compl front sinus fx,,
21345,Closed tx nose/jaw fx,5163,"$1,453.05 "
21346,Opn tx nasomax fx w/fixj,5165,"$5,579.71 "
21347,Opn tx nasomax fx multple,5165,"$5,579.71 "
21348,Opn tx nasomax fx w/graft,,
21355,Perq tx malar fracture,5164,"$3,067.62 "
21356,Opn tx dprsd zygomatic arch,5165,"$5,579.71 "
21360,Opn tx dprsd malar fracture,5165,"$5,579.71 "
21365,Opn tx complx malar fx,5165,"$5,579.71 "
21366,Opn tx complx malar w/grft,5165,"$5,579.71 "
21385,Opn tx orbit fx transantral,5165,"$5,579.71 "
21386,Opn tx orbit fx periorbital,5165,"$5,579.71 "
21387,Opn tx orbit fx combined,5165,"$5,579.71 "
21390,Opn tx orbit periorbtl implt,5165,"$5,579.71 "
21395,Opn tx orbit periorbt w/grft,5165,"$5,579.71 "
21400,Closed tx orbit w/o manipulj,5162,$524.23 
21401,Closed tx orbit w/manipulj,5163,"$1,453.05 "
21406,Opn tx orbit fx w/o implant,5165,"$5,579.71 "
21407,Opn tx orbit fx w/implant,5165,"$5,579.71 "
21408,Opn tx orbit fx w/bone grft,5165,"$5,579.71 "
21421,Treat mouth roof fracture,5164,"$3,067.62 "
21422,Treat mouth roof fracture,5165,"$5,579.71 "
21423,Treat mouth roof fracture,,
21431,Treat craniofacial fracture,,
21432,Treat craniofacial fracture,,
21433,Treat craniofacial fracture,,
21435,Treat craniofacial fracture,,
21436,Treat craniofacial fracture,,
21440,Treat dental ridge fracture,5164,"$3,067.62 "
21445,Treat dental ridge fracture,5165,"$5,579.71 "
21450,Treat lower jaw fracture,5162,$524.23 
21451,Treat lower jaw fracture,5163,"$1,453.05 "
21452,Treat lower jaw fracture,5165,"$5,579.71 "
21453,Treat lower jaw fracture,5165,"$5,579.71 "
21454,Treat lower jaw fracture,5165,"$5,579.71 "
21461,Treat lower jaw fracture,5165,"$5,579.71 "
21462,Treat lower jaw fracture,5165,"$5,579.71 "
21465,Treat lower jaw fracture,5165,"$5,579.71 "
21470,Treat lower jaw fracture,5165,"$5,579.71 "
21480,Reset dislocated jaw,5111,$224.69 
21485,Reset dislocated jaw,5163,"$1,453.05 "
21490,Repair dislocated jaw,5164,"$3,067.62 "
21497,Interdental wiring,5163,"$1,453.05 "
21499,Unlisted muscskel px head,5161,$232.73 
21501,Drain neck/chest lesion,5073,"$2,707.35 "
21502,Drain chest lesion,5113,"$3,084.03 "
21510,Drainage of bone lesion,,
21550,Biopsy of neck/chest,5072,"$1,544.75 "
21552,Exc neck les sc 3 cm/>,5073,"$2,707.35 "
21554,Exc neck tum deep 5 cm/>,5073,"$2,707.35 "
21555,Exc neck les sc < 3 cm,5072,"$1,544.75 "
21556,Exc neck tum deep < 5 cm,5073,"$2,707.35 "
21557,Resect neck thorax tumor<5cm,5073,"$2,707.35 "
21558,Resect neck tumor 5 cm/>,5073,"$2,707.35 "
21600,Partial removal of rib,5114,"$6,816.33 "
21601,Exc chest wall tumor w/ribs,5073,"$2,707.35 "
21602,Exc ch wal tum w/o lymphadec,,
21603,Exc ch wal tum w/lymphadec,,
21610,Partial removal of rib,5113,"$3,084.03 "
21615,Removal of rib,,
21616,Removal of rib and nerves,,
21620,Partial removal of sternum,,
21627,Sternal debridement,,
21630,Extensive sternum surgery,,
21632,Extensive sternum surgery,,
21685,Hyoid myotomy & suspension,5165,"$5,579.71 "
21700,Revision of neck muscle,5114,"$6,816.33 "
21705,Revision of neck muscle/rib,,
21720,Revision of neck muscle,5113,"$3,084.03 "
21725,Revision of neck muscle,5071,$670.36 
21740,Reconstruction of sternum,,
21742,Repair stern/nuss w/o scope,5113,"$3,084.03 "
21743,Repair sternum/nuss w/scope,5113,"$3,084.03 "
21750,Repair of sternum separation,,
21811,Optx of rib fx w/fixj scope,5114,"$6,816.33 "
21812,Treatment of rib fracture,5114,"$6,816.33 "
21813,Treatment of rib fracture,5112,"$1,531.33 "
21820,Treat sternum fracture,5111,$224.69 
21825,Treat sternum fracture,,
21899,Unlisted px neck/thorax,5161,$232.73 
21920,Biopsy soft tissue of back,5072,"$1,544.75 "
21925,Biopsy soft tissue of back,5072,"$1,544.75 "
21930,Exc back les sc < 3 cm,5072,"$1,544.75 "
21931,Exc back les sc 3 cm/>,5072,"$1,544.75 "
21932,Exc back tum deep < 5 cm,5073,"$2,707.35 "
21933,Exc back tum deep 5 cm/>,5073,"$2,707.35 "
21935,Resect back tum < 5 cm,5073,"$2,707.35 "
21936,Resect back tum 5 cm/>,5073,"$2,707.35 "
22010,I&d p-spine c/t/cerv-thor,,
22015,I&d abscess p-spine l/s/ls,,
22100,Remove part of neck vertebra,5114,"$6,816.33 "
22101,Remove part thorax vertebra,5114,"$6,816.33 "
22102,Remove part lumbar vertebra,5114,"$6,816.33 "
22103,Remove extra spine segment,,
22110,Remove part of neck vertebra,,
22112,Remove part thorax vertebra,,
22114,Remove part lumbar vertebra,,
22116,Remove extra spine segment,,
22206,Incis spine 3 column thorac,,
22207,Incis spine 3 column lumbar,,
22208,Incis spine 3 column adl seg,,
22210,Incis 1 vertebral seg cerv,,
22212,Incis 1 vertebral seg thorac,,
22214,Incis 1 vertebral seg lumbar,,
22216,Incis addl spine segment,,
22220,Osteot dsc ant 1 vrt sgm crv,,
22222,Osteot dsc ant 1vrt sgm thrc,,
22224,Osteot dsc ant 1vrt sgm lmbr,,
22226,Osteot dsc ant 1vrt sgm ea,,
22310,Closed tx vert fx w/o manj,5111,$224.69 
22315,Closed tx vert fx w/manj,5113,"$3,084.03 "
22318,Treat odontoid fx w/o graft,,
22319,Treat odontoid fx w/graft,,
22325,Treat spine fracture,,
22326,Treat neck spine fracture,,
22327,Treat thorax spine fracture,,
22328,Treat each add spine fx,,
22505,Manipulation of spine,5112,"$1,531.33 "
22510,Perq cervicothoracic inject,5113,"$3,084.03 "
22511,Perq lumbosacral injection,5113,"$3,084.03 "
22512,Vertebroplasty addl inject,,
22513,Perq vertebral augmentation,5114,"$6,816.33 "
22514,Perq vertebral augmentation,5114,"$6,816.33 "
22515,Perq vertebral augmentation,,
22526,Idet single level,,
22527,Idet 1 or more levels,,
22532,Arthrd lat xtrcvtry tq thrc,,
22533,Arthrd lat xtrcvtry tq lmbr,,
22534,Arthrd lat xtrcvtry tq ea ad,,
22548,Arthrd ant toral/xoral c1-c2,,
22551,Arthrd ant ntrbdy cervical,5115,"$12,539.82 "
22552,Arthrd ant ntrbd cervical ea,,
22554,Arthrd ant ntrbd min dsc crv,5115,"$12,539.82 "
22556,Arthrd ant ntrbd min dsc thc,,
22558,Arthrd ant ntrbd min dsc lum,,
22585,Arthrd ant ntrbd min dsc ea,,
22586,Arthrd pre-sac ntrbdy l5-s1,,
22590,Arthrd pst tq craniocervical,,
22595,Arthrd pst tq atlas-axis,,
22600,Arthrd pst tq 1ntrspc crv,,
22610,Arthrd pst tq 1ntrspc thrc,,
22612,Arthrd pst tq 1ntrspc lumbar,5116,"$17,756.28 "
22614,Arthrd pst tq 1ntrspc ea add,,
22630,Arthrd pst tq 1ntrspc lum,5116,"$17,756.28 "
22632,Arthrd pst tq 1ntrspc lm ea,,
22633,Arthrd cmbn 1ntrspc lumbar,5116,"$17,756.28 "
22634,Arthrd cmbn 1ntrspc ea addl,,
22800,Arthrd pst dfrm<6 vrt sgm,,
22802,Arthrd pst dfrm 7-12 vrt sgm,,
22804,Arthrd pst dfrm 13+ vrt sgm,,
22808,Arthrd ant dfrm 2-3 vrt sgm,,
22810,Arthrd ant dfrm 4-7 vrt sgm,,
22812,Arthrd ant dfrm 8+ vrt sgm,,
22818,Kyphectomy 1-2 segments,,
22819,Kyphectomy 3 or more,,
22830,Exploration of spinal fusion,,
22836,Ant thrc vrt body tethrg <7,,
22837,Ant thrc vrt body tethrg 8+,,
22838,Rev rplc/rmv thrc vrt tethrg,,
22840,Insert spine fixation device,,
22841,Insert spine fixation device,,
22842,Insert spine fixation device,,
22843,Insert spine fixation device,,
22844,Insert spine fixation device,,
22845,Insert spine fixation device,,
22846,Insert spine fixation device,,
22847,Insert spine fixation device,,
22848,Insert pelv fixation device,,
22849,Reinsert spinal fixation,,
22850,Remove spine fixation device,,
22852,Remove spine fixation device,,
22853,Insj biomechanical device,,
22854,Insj biomechanical device,,
22855,Removal anterior instrmj,,
22856,Tot disc arthrp 1ntrspc crv,5116,"$17,756.28 "
22857,Tot disc arthrp 1ntrspc lmbr,,
22858,Tot disc arthrp 2nd lvl crv,,
22859,Insj biomechanical device,,
22860,Tot disc arthrp 2ntrspc lmbr,,
22861,Rev rplcm arthrp 1ntrspc crv,,
22862,Rev rplcm rthrp 1ntrspc lmbr,,
22864,Rmvl tot arthrp 1ntrspc crv,,
22865,Rmvl tot arthrp 1ntrspc lmbr,,
22867,Insj stablj dev w/dcmprn,5116,"$17,756.28 "
22868,Insj stablj dev w/dcmprn,,
22869,Insj stablj dev w/o dcmprn,5115,"$12,539.82 "
22870,Insj stablj dev w/o dcmprn,,
22899,Unlisted procedure spine,5111,$224.69 
22900,Exc abdl tum deep < 5 cm,5073,"$2,707.35 "
22901,Exc abdl tum deep 5 cm/>,5073,"$2,707.35 "
22902,Exc abd les sc < 3 cm,5072,"$1,544.75 "
22903,Exc abd les sc 3 cm/>,5073,"$2,707.35 "
22904,Radical resect abd tumor<5cm,5073,"$2,707.35 "
22905,Rad resect abd tumor 5 cm/>,5073,"$2,707.35 "
22999,Unlisted px abdomen muscskel,5111,$224.69 
23000,Removal of calcium deposits,5073,"$2,707.35 "
23020,Release shoulder joint,5113,"$3,084.03 "
23030,Drain shoulder lesion,5073,"$2,707.35 "
23031,Drain shoulder bursa,5073,"$2,707.35 "
23035,Drain shoulder bone lesion,5112,"$1,531.33 "
23040,Exploratory shoulder surgery,5113,"$3,084.03 "
23044,Exploratory shoulder surgery,5113,"$3,084.03 "
23065,Biopsy shoulder tissues,5072,"$1,544.75 "
23066,Biopsy shoulder tissues,5073,"$2,707.35 "
23071,Exc shoulder les sc 3 cm/>,5072,"$1,544.75 "
23073,Exc shoulder tum deep 5 cm/>,5073,"$2,707.35 "
23075,Exc shoulder les sc < 3 cm,5072,"$1,544.75 "
23076,Exc shoulder tum deep < 5 cm,5073,"$2,707.35 "
23077,Resect shoulder tumor < 5 cm,5073,"$2,707.35 "
23078,Resect shoulder tumor 5 cm/>,5073,"$2,707.35 "
23100,Biopsy of shoulder joint,5113,"$3,084.03 "
23101,Shoulder joint surgery,5113,"$3,084.03 "
23105,Remove shoulder joint lining,5114,"$6,816.33 "
23106,Incision of collarbone joint,5113,"$3,084.03 "
23107,Explore treat shoulder joint,5114,"$6,816.33 "
23120,Partial removal collar bone,5113,"$3,084.03 "
23125,Removal of collar bone,5113,"$3,084.03 "
23130,Remove shoulder bone part,5113,"$3,084.03 "
23140,Removal of bone lesion,5113,"$3,084.03 "
23145,Removal of bone lesion,5113,"$3,084.03 "
23146,Removal of bone lesion,5114,"$6,816.33 "
23150,Removal of humerus lesion,5113,"$3,084.03 "
23155,Removal of humerus lesion,5114,"$6,816.33 "
23156,Removal of humerus lesion,5114,"$6,816.33 "
23170,Remove collar bone lesion,5113,"$3,084.03 "
23172,Remove shoulder blade lesion,5113,"$3,084.03 "
23174,Remove humerus lesion,5114,"$6,816.33 "
23180,Remove collar bone lesion,5114,"$6,816.33 "
23182,Remove shoulder blade lesion,5114,"$6,816.33 "
23184,Remove humerus lesion,5114,"$6,816.33 "
23190,Partial removal of scapula,5113,"$3,084.03 "
23195,Removal of head of humerus,5114,"$6,816.33 "
23200,Resect clavicle tumor,,
23210,Resect scapula tumor,,
23220,Resect prox humerus tumor,,
23330,Remove shoulder foreign body,5072,"$1,544.75 "
23333,Remove shoulder fb deep,5073,"$2,707.35 "
23334,Shoulder prosthesis removal,5073,"$2,707.35 "
23335,Shoulder prosthesis removal,,
23350,Injection for shoulder x-ray,,
23395,Muscle transfer shoulder/arm,5114,"$6,816.33 "
23397,Muscle transfers,5114,"$6,816.33 "
23400,Fixation of shoulder blade,5114,"$6,816.33 "
23405,Incision of tendon & muscle,5114,"$6,816.33 "
23406,Incise tendon(s) & muscle(s),5114,"$6,816.33 "
23410,Repair rotator cuff acute,5114,"$6,816.33 "
23412,Repair rotator cuff chronic,5114,"$6,816.33 "
23415,Release of shoulder ligament,5114,"$6,816.33 "
23420,Repair of shoulder,5114,"$6,816.33 "
23430,Repair biceps tendon,5114,"$6,816.33 "
23440,Remove/transplant tendon,5114,"$6,816.33 "
23450,Repair shoulder capsule,5114,"$6,816.33 "
23455,Repair shoulder capsule,5114,"$6,816.33 "
23460,Repair shoulder capsule,5114,"$6,816.33 "
23462,Repair shoulder capsule,5114,"$6,816.33 "
23465,Repair shoulder capsule,5114,"$6,816.33 "
23466,Repair shoulder capsule,5114,"$6,816.33 "
23470,Reconstruct shoulder joint,5115,"$12,539.82 "
23472,Reconstruct shoulder joint,5116,"$17,756.28 "
23473,Revis reconst shoulder joint,5115,"$12,539.82 "
23474,Revis reconst shoulder joint,,
23480,Revision of collar bone,5114,"$6,816.33 "
23485,Revision of collar bone,5115,"$12,539.82 "
23490,Reinforce clavicle,5114,"$6,816.33 "
23491,Reinforce shoulder bones,5115,"$12,539.82 "
23500,Cltx clavicular fx w/o mnpj,5111,$224.69 
23505,Cltx clavicular fx w/mnpj,5112,"$1,531.33 "
23515,Optx clavicular fx w/int fix,5114,"$6,816.33 "
23520,Cltx strnclav dislc w/o mnpj,5112,"$1,531.33 "
23525,Cltx strnclav dislc w/mnpj,5111,$224.69 
23530,Optx strnclav dislc aqt/chrn,5114,"$6,816.33 "
23532,Optx strclv dslc aq/chrn grf,5114,"$6,816.33 "
23540,Cltx acromclav dislc wo mnpj,5111,$224.69 
23545,Cltx acromclav dislc w/mnpj,5111,$224.69 
23550,Optx acromclv dislc aqt/chrn,5114,"$6,816.33 "
23552,Optx acrclv dslc aq/chrn grf,5114,"$6,816.33 "
23570,Cltx scapular fx w/o mnpj,5111,$224.69 
23575,Cltx scap fx w/mnpj +-tractj,5112,"$1,531.33 "
23585,Optx scapular fx w/int fixj,5114,"$6,816.33 "
23600,Cltx prox humrl fx w/o mnpj,5111,$224.69 
23605,Cltx prx hmrl fx mnpj+-tract,5112,"$1,531.33 "
23615,Optx prox humrl fx w/int fix,5115,"$12,539.82 "
23616,Optx prx hmrl fx fix rpr rpl,5116,"$17,756.28 "
23620,Cltx gr hmrl tbrs fx wo mnpj,5111,$224.69 
23625,Cltx gr hmrl tbrs fx w/mnpj,5112,"$1,531.33 "
23630,Optx gr hmrl tbrs fx int fix,5114,"$6,816.33 "
23650,Cltx sho dslc w/mnpj wo anes,5111,$224.69 
23655,Cltx sho dslc w/mnpj w/anes,5112,"$1,531.33 "
23660,Optx acute shoulder dislc,5114,"$6,816.33 "
23665,Cltx sho dslc fx gr hmrl tbr,5112,"$1,531.33 "
23670,Optx sho dislc fx,5114,"$6,816.33 "
23675,Cltx sho dislc neck fx mnpj,5112,"$1,531.33 "
23680,Optx sho dislc neck fx fixj,5115,"$12,539.82 "
23700,Mnpj anes sho jt fixj aprats,5112,"$1,531.33 "
23800,Arthrodesis glenohumeral jt,5114,"$6,816.33 "
23802,Arthrd glenohumeral jt w/grf,5115,"$12,539.82 "
23900,Interthoracoscplr amputation,,
23920,Disarticulation shoulder,,
23921,Disarticulation sho sec clsr,5054,"$1,737.53 "
23929,Unlisted procedure shoulder,5111,$224.69 
23930,I&d upr a/e dp absc/hmtma,5073,"$2,707.35 "
23931,I&d upr a/e bursa,5072,"$1,544.75 "
23935,Inc dp opn b1 crtx hum/elbw,5113,"$3,084.03 "
24000,Arthrt elbw expl drg/rmvl fb,5113,"$3,084.03 "
24006,Arthrt elbw capsl exc rls,5113,"$3,084.03 "
24065,Biopsy arm/elbow soft tissue,5072,"$1,544.75 "
24066,Biopsy arm/elbow soft tissue,5073,"$2,707.35 "
24071,Exc arm/elbow les sc 3 cm/>,5073,"$2,707.35 "
24073,Ex arm/elbow tum deep 5 cm/>,5073,"$2,707.35 "
24075,Exc arm/elbow les sc < 3 cm,5072,"$1,544.75 "
24076,Ex arm/elbow tum deep < 5 cm,5073,"$2,707.35 "
24077,Rad rescj tum tiss a/e <5cm,5073,"$2,707.35 "
24079,Rad rescj tum tiss a/e 5 cm+,5073,"$2,707.35 "
24100,Arthrt elbw synovial bx only,5113,"$3,084.03 "
24101,Arthrt elbw jt expl bx rmvl,5113,"$3,084.03 "
24102,Arthrt elbow w/synovectomy,5113,"$3,084.03 "
24105,Excision olecranon bursa,5113,"$3,084.03 "
24110,Exc/curtg b1 cst/b9 tum hum,5113,"$3,084.03 "
24115,Exc/crtg b1 cst/tum hum agrf,5114,"$6,816.33 "
24116,Exc/crtg b1 cst/tum hum algr,5114,"$6,816.33 "
24120,Exc/crtg b1 cst/b9 tum rds,5113,"$3,084.03 "
24125,Exc/crtg b1 cst/tum rds agrf,5113,"$3,084.03 "
24126,Exc/crtg b1 cst/tum rds algr,5114,"$6,816.33 "
24130,Excision radial head,5113,"$3,084.03 "
24134,Sequestrectomy shft/dstl hum,5114,"$6,816.33 "
